Feature ID,Feature Label,Median Household Income,Median Earnings - Total,Per Capita Income,Total Population
country:us/state:tn/county:coffee,"Coffee County, TN",50351,29521,26557,55209
country:us/state:tn/county:lauderdale,"Lauderdale County, TN",39896,29473,18515,25989
country:us/state:tn/county:sevier,"Sevier County, TN",49610,25368,25283,97068
country:us/state:tn/county:wilson,"Wilson County, TN",75991,39764,34575,136666
country:us/state:tn/county:henderson,"Henderson County, TN",43305,31140,22695,27977
country:us/state:tn/county:chester,"Chester County, TN",51946,31434,22629,17190
country:us/state:tn/county:lawrence,"Lawrence County, TN",43614,29666,21720,43390
country:us/state:tn/county:scott,"Scott County, TN",38864,29413,20849,21969
country:us/state:tn/county:loudon,"Loudon County, TN",58065,30929,31478,52340
country:us/state:tn/county:bedford,"Bedford County, TN",50415,28929,24864,48292
